time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lastKnownUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2016-02-07 07:54:42.365 UTC, ,125,3157213,696,11360, , ,3, , , , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,947,1,370,370,1, ,2,4, , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454831682141,3145728, , , , ,2,3,2,2,2, , ,3,3, , , , , , , ,38,1, , ,2048,1,955,2, , , , , , ,3,21,27846344,3, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-02-07 07:54:42.471 UTC, ,589,3173301,1184,26984, , ,4, ,11, , , , , , , , , ,4,4, , , , ,1,7, ,1, , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454831682141,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,35865128,3, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , ,2, ,2, , , , , , , , , , , , , , , , , , , , , 
2016-02-07 07:55:04.045 UTC, ,125,3158085,928,12232, , ,3, ,14,3,0.21, , , , , , , ,3,3, ,2, ,2,1,5, ,10,4, , , , , , , , , , , , , ,18562,2, ,17509, , , , , , ,52, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454831703811,3145728, , , ,12, , , ,2, , , ,3, , , , ,12, ,2048,1, , , , ,100352,22, , , , , , , , ,3,24,26891672,3, , , , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-02-07 07:55:04.138 UTC, ,125,3172309,1184,26456, , ,4, ,9,1,0.11, , , , , , , ,4,4, , , ,2,1,7, ,9,6, , , , , , , , , , , , , ,18562,2, ,17509, , , , , , ,52, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454831703811,3145728, , , ,8, , , ,1, , , ,3, , , , ,8,1, , , , , ,1,27001,10, , , , , , , , , , ,34894488,3, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , 
2016-02-07 07:55:15.272 UTC, ,125,3158085,928,12232, , ,3, ,14,3,0.21, , , , , , , ,3,3, ,2, ,2,1,5, ,10,4, , , , , , , , , , , , , ,18562,2, ,17509, , , , , , ,52, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454831715043,3145728, , , ,12, , , ,2, , , ,3, , , , ,12, ,2048,1, , , , ,100352,22, , , , , , , , ,3,28,28236336,3, , , , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-02-07 07:55:15.380 UTC, ,589,3176109,1160,29792, , ,5, ,18,1,0.06, , , , , , , ,5,5, , , ,2,1,8, ,4,2, , , , , , , , , , , , , ,18562,2, ,17509, , , , , , ,52, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454831715043,3145728, , , ,4, , , ,1, , , ,3, , , , ,4,1, , , , , ,1,18809,6, , , , , , , , , , ,36293288,3, , , , , , ,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,2, ,1, , , , , , , , , , , , , , , , , , , , , 
2016-02-07 07:55:26.809 UTC, ,125,3159445,1160,13592, , ,3,1,17,3,0.18, , , , , , , ,3,3, ,2,1,2,1,5, ,12,5, , , , , , , , , , , , , ,30038,3, ,28813, , , , , , ,38, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454831726612,3145728, , , ,14, , , ,2, , , ,3, , , , ,14, ,2048,1, , , , ,112640,25, , , , , , , , ,3,21,26902664,3, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-02-07 07:55:26.904 UTC, ,125,3174717,1416,28864, , ,4, ,9,1,0.11, , , , , , , ,4,4, , , ,2,1,6, ,9,6, , , , , , , , , , , , , ,30038,3, ,28813, , , , , , ,38, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454831726612,3145728, , , ,8, , , ,1, , , ,3, , , , ,8,1, , , , , ,1,27579,10, , , , , , , , , , ,36245864,3, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , 
2016-02-07 07:55:37.926 UTC, ,125,3159445,1160,13592, , ,3,1,17,3,0.18, , , , , , , ,3,3, ,2,1,2,1,5, ,12,5, , , , , , , , , , , , , ,30038,3, ,28813, , , , , , ,38, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454831737690,3145728, , , ,14, , , ,2, , , ,3, , , , ,14, ,2048,1, , , , ,112640,25, , , , , , , , ,3,23,26892992,3, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-02-07 07:55:38.025 UTC, ,125,3174717,1416,28864, , ,4, ,9,1,0.11, , , , , , , ,4,4, , , ,2,1,6, ,9,6, , , , , , , , , , , , , ,30038,3, ,28813, , , , , , ,38, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454831737690,3145728, , , ,8, , , ,1, , , ,3, , , , ,8,1, , , , , ,1,27579,10, , , , , , , , , , ,34904288,3, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , 
2016-02-07 07:57:17.566 UTC, ,125,3159445,1160,13592, , ,3,1,17,3,0.18, , , , , , , ,3,3, ,2,1,2,1,5, ,12,5, , , , , , , , , , , , , ,30038,3, ,28813, , , , , , ,38, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454831837327,3145728, , , ,14, , , ,2, , , ,3, , , , ,14, ,2048,1, , , , ,112640,25, , , , , , , , ,3,20,28006664,3, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-02-07 07:57:59.345 UTC, ,589,3176789,1160,30472, , ,5, ,17,2,0.12, , , , , , , ,5,5, , , ,2,1,8, ,11,9, , , , , , , , , , , , , ,30038,3, ,28813, , , , , , ,38, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454831837327,3145728, , , ,13, , , ,1, , , ,3, , , , ,13,1, , , , , ,1,37819,15, , , , , , , , , , ,37458080,3, , , , , , ,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , 
2016-02-07 08:02:21.014 UTC, ,125,3158221,928,12368, , ,3,1,14,3,0.21, , , , , , , ,3,3, ,2,1,2,1,5, ,10,4, , , , , , , , , , , , , ,31581,4, ,30882, , , , , , ,37, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454832140787,3145728, , , ,13, , , ,2, , , ,3, , , , ,13, ,2048,1, , , , ,110592,24, , , , , , , , ,3,26,26852248,3, , , , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-02-07 08:02:21.093 UTC, ,125,3171989,1160,26136, , ,4, ,3,1,0.33, , , , , , , ,4,4, , , ,2,1,7, ,3,3, , , , , , , , , , , , , ,31581,4, ,30882, , , , , , ,37, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454832140787,3145728, , , ,5, , , ,1, , , ,3, , , , ,5,1, , , , , ,1,21435,7, , , , , , , , , , ,33515520,3, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , 
2016-02-07 08:03:40.839 UTC, ,125,3158221,928,12368, , ,3,1,14,3,0.21, , , , , , , ,3,3, ,2,1,2,1,5, ,10,4, , , , , , , , , , , , , ,31581,4, ,30882, , , , , , ,37, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454832220629,3145728, , , ,13, , , ,2, , , ,3, , , , ,13, ,2048,1, , , , ,110592,24, , , , , , , , ,3,21,26899312,3, , , , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-02-07 08:03:41.336 UTC, ,589,3342429,1624,196112, , ,27, ,2440,2,0.00, , , , , , , ,27,7, , , ,13,12,6, ,17,14, , , , , , , , , , , , , ,31581,4, ,30882, , , , , , ,37, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454832220629,3145728, , , ,18, , , ,1, , , ,3, , , , ,18,1, , , , , ,1,48059,20, , , , , , , , , , ,42891688,3, , , , , , ,1634, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, , ,800, ,1, , , , , , , , , , , , , , , , , , , , , , , 
2016-02-07 08:03:51.127 UTC, ,125,3160741,1392,14888, , ,3,2,20,3,0.15, , , , , , , ,3,3, ,2,2,2,1,5, ,14,6, , , , , , , , , , , , , ,219778,5, ,207429, , , , , , ,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454832230859,3145728, , , ,16, , , ,2, , , ,3, , , , ,16, ,2048,1, , , , ,354304,56, , , , , , , , ,3,26,28176704,3, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-02-07 08:03:51.241 UTC, ,125,3183421,1624,37568, , ,5, ,10,2,0.20, , , , , , , ,5,5, , , ,2,2,7, ,9,5, , , , , , , , , , , , , ,219778,5, ,207429, , , , , , ,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454832230859,3145728, , , ,9, , , ,1, , , ,3, , , , ,9,1, , , , , ,2,33250,12, , , , , , , , , , ,36208608,3, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , 
2016-02-07 08:04:32.685 UTC, ,125,3160741,1392,14888, , ,3,2,20,3,0.15, , , , , , , ,3,3, ,2,2,2,1,5, ,14,6, , , , , , , , , , , , , ,219778,5, ,207429, , , , , , ,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454832272419,3145728, , , ,16, , , ,2, , , ,3, , , , ,16, ,2048,1, , , , ,354304,56, , , , , , , , ,3,26,28199616,3, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-02-07 08:04:32.817 UTC, ,125,3186789,1624,40936, , ,6,2,13,3,0.23, , , , , , , ,6,6, , ,2,3,2,9, ,12,8, , , , , , , , , , , , , ,219778,5, ,207429, , , , , , ,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454832272419,3145728, , , ,16, , , ,1, , , ,3, , , , ,16,1, , , , , ,2,46187,19, , , , , , , , , , ,36233200,3, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,3, , , , , , , 
2016-02-07 08:04:41.571 UTC, ,125,3160741,1392,14888, , ,3,2,20,3,0.15, , , , , , , ,3,3, ,2,2,2,1,5, ,14,6, , , , , , , , , , , , , ,219778,5, ,207429, , , , , , ,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454832281336,3145728, , , ,16, , , ,2, , , ,3, , , , ,16, ,2048,1, , , , ,354304,56, , , , , , , , ,2,23,95363128,3, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-02-07 08:04:42.036 UTC, ,125,3281685,1624,135832, , ,15,6,31,12,0.39, , , , , , , ,15,5, , ,6,13,1,6, ,809,805, , , , , , , , , , , , , ,219778,5, ,207429, , , , , , ,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454832281336,3145728, , , ,825, , , ,1, , , ,3, , , , ,825,1, , , , , ,2,1703150,828, , , , , , , , , , ,111340000,3, , , , , , ,813, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,800, , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , 
2016-02-07 08:46:06.591 UTC, ,125,3160741,1392,14888, , ,3,2,20,3,0.15, , , , , , , ,3,3, ,2,2,2,1,5, ,14,6, , , , , , , , , , , , , ,219778,5, ,207429, , , , , , ,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454834766343,3145728, , , ,16, , , ,2, , , ,3, , , , ,16, ,2048,1, , , , ,354304,56, , , , , , , , ,3,24,29339968,2, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-02-07 08:46:06.690 UTC, ,589,3188805,1624,42488, , ,6, ,16,3,0.19, , , , , , , ,6,6, , , ,2,2,9, ,13,5, , , , , , , , , , , , , ,219778,5, ,207429, , , , , , ,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454834766343,3145728, , , ,11, , , ,1, , , ,3, , , , ,11,1, , , , , ,3,38160,15, , , , , , , , , , ,38691352,2, , , , , , ,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,1, ,3, , , , , , , , , , , , , , , , , , , , , , , 
2016-02-07 08:48:18.149 UTC, ,125,3159517,1160,13664, , ,3,1,17,3,0.18, , , , , , , ,3,3, ,2,1,2,1,5, ,12,5, , , , , , , , , , , , , ,221734,6, ,220153, , , , , , ,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1454834897912,3145728, , , ,14, , , ,2, , , ,3, , , , ,14, ,2048,1, , , , ,309248,49, , , , , , , , ,3,21,28229448,2, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
